Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Kathy,Ross,William Neck 4132,South Michael,16924,Danmark,DK,19920526-9453,+45,611.845.8767x03001,1992-05-26,True
Niko,Mäki,Haakoninlahdenkatu 42,Kannus,29622,Finland,FI,19491006-8877,+358,+358 341738347,1949-10-06,True
Thomas,Andersen,Strandspranget 94C,Moen,4520,Norge,NO,19680827-8914,+47,20 11 81 37,1968-08-27,True
Øyvind,Lunde,Aasenjordet 35,Bjørghelle,5075,Norge,NO,19401121-0649,+47,78 36 45 20,1940-11-21,True
Patricia,Stewart,Rowe Unions 8133,Natashamouth,01168,Danmark,DK,19850907-7775,+45,388-515-7560x37538,1985-09-07,True
Christopher,Warren,Jesse Locks 04554,North Derek,14047,Danmark,DK,19841228-2353,+45,001-841-739-7127x83068,1984-12-28,True
Linnéa,Larsson,Industrigatan 1,Skellefteå,14019,Sverige,SE,19750308-8913,+46,08-614 376 52,1975-03-08,True
Katrina,Fisher,Robert Meadow 19161,Hansonfurt,21230,Danmark,DK,19771014-7521,+45,2799212227,1977-10-14,True
Fredrik,Andersson,Strandtorget 6,Sundsvall,90078,Sverige,SE,19591202-4913,+46,+46 (0)467 055 62,1959-12-02,True
Eeva,Salmi,Porkkalankatu 190,Rovaniemi,67086,Finland,FI,19690513-7936,+358,+358328732744,1969-05-13,True
Johannes,Soininen,Haaksibulevardi 4,Muhos,42258,Danmark,FI,19861002-781D,+358,068 009 0803,1986-10-02,True
Madison,Wheeler,Diaz Road 6490,East Carla,97230,Danmark,DK,19970119-4751,+45,(706)767-5475x56410,1997-01-19,True
Eva,Hansen,Ahmedgrenda 2,Ellingsen,0395,Norge,NO,19851002-0258,+47,06 72 10 42,1985-10-02,True
Grethe,Ødegård,Arnesenåsen 2,Jensås,7638,Norge,NO,19950720-5070,+47,441 32 735,1995-07-20,True
Elisabeth,Pettersen,Larsenroa 756,Linebø,1404,Norge,NO,19520607-0009,+47,05711812,1952-06-07,True
Maria,Nieminen,Hannukselanbulevardi 4,Hartola,56899,Finland,FI,19830908-647N,+358,0441332787,1983-09-08,True
John,Ho,Calvin Prairie 8233,Bartlettmouth,80258,Danmark,DK,19690327-3049,+45,451.828.3267x155,1969-03-27,True
Terrance,Fields,Golden Mews 1141,East Melinda,45597,Danmark,DK,19850611-5425,+45,(674)715-7130x02253,1985-06-11,True
Ella,Nilsson,Industrigatan 75,Örnsköldsvik,86947,Sverige,SE,19891017-6287,+46,+46 (0)8 919 180 21,1989-10-17,True
Reidun,Sivertsen,Hellandløkka 67C,Monagrunn,9051,Norge,NO,19920526-2377,+47,+47 60 65 31 07,1992-05-26,True
Krister,Malmberg,Villagatan 305,Trelleborg,92580,Sverige,SE,19971213-7278,+46,08-468 038 88,1997-12-13,True
Berit,Andersson,Industrivägen 497,Landskrona,48547,Sverige,SE,19920229-4502,+46,0349-70 25 38,1992-02-29,True
Trond,Martinsen,Jørgensensvingen 88A,Pettersjøen,5688,Norge,NO,19820510-1761,+47,405 95 983,1982-05-10,True
Johan,Lundström,Backgränd 782,Borås,43309,Sverige,SE,19700708-8302,+47,090-76 85 28,1970-07-08,True
Marius,Ali,Hagenhaugen 4,Sverreås,7942,Norge,NO,19820325-0047,+47,+47 53 67 53 26,1982-03-25,True
Ingeborg,Eriksson,Fabriksgränd 5,Uddevalla,69121,Sverige,SE,19741124-6491,+46,+46 (0)65 78 08 07,1974-11-24,True
Maria,Axelsson,Stationstorget 14,Västerås,68237,Sverige,SE,19770904-4291,+46,+46 (0)8 747 123 21,1977-09-04,True
Gun,Eriksson,Parkgränd 457,Sandviken,14667,Sverige,SE,19990214-4790,+46,092-996 36 61,1999-02-14,True
Monica,Söderström,Skolvägen 7,Piteå,62759,Sverige,SE,19520913-0920,+46,0663-062 84,1952-09-13,True
Ashley,Watson,Morrison Glens 565,Rodriguezfurt,74587,Danmark,DK,19430224-1998,+45,788.735.0702,1943-02-24,True
Katarina,Svensson,Furuvägen 089,Borlänge,35978,Sverige,SE,19680312-6490,+46,+46 (0)093 353 62,1968-03-12,True
Michael,Chapman,Miller Common 2234,New Amandaland,77877,Danmark,DK,19650420-2375,+45,2446301600,1965-04-20,True
Leslie,Price,Dakota Divide 2617,Hallport,39387,Danmark,DK,19930530-6219,+45,913.996.5726,1993-05-30,True
Arne,Edvardsen,Jacobsenbråten 09,Hanssen,4660,Norge,NO,19990221-7626,+47,09 03 95 00,1999-02-21,True
Irene,Lundgren,Ektorget 6,Uppsala,40406,Sverige,SE,19930329-5416,+46,08-863 053 71,1993-03-29,True
Agneta,Sjödin,Stationsgränd 714,Karlskrona,64074,Sverige,SE,19880813-8182,+46,+46 (0)89 62 19 35,1988-08-13,True
Tonje,Martinsen,Vikåsen 8,Svendsen,7415,Norge,NO,19651105-5826,+47,40466397,1965-11-05,False
Ingrid,Berntsen,Andresenstranda 628,Aasen,2086,Norge,NO,19681117-3091,+47,+4783996951,1968-11-17,True
Miguel,Brooks,Crystal Manor 454,New Erin,20555,Norge,DK,20001003-0820,+45,816-932-7077,2000-10-03,True
Peter,Andersson,Bäckvägen 659,Piteå,73345,Sverige,SE,19480714-4750,+46,0413-95 67 16,1948-07-14,True
Erik,Larsen,Abrahamsengropa 548,Holm,4343,Norge,NO,19480604-1974,+47,+47 55 89 92 75,1948-06-04,True
Gunnar,Gustavsson,Ängsstigen 265,Göteborg,71997,Sverige,SE,19710620-3118,+46,+46 (0)8 945 964 75,1971-06-20,True
David,Norberg,Trädgårdsvägen 11,Uppsala,28043,Sverige,SE,19890430-0790,+46,08-97 27 42,1989-04-30,True
John,Jakobsen,Myklebustvika 9D,Larsen,8462,Norge,NO,19780507-3083,+47,56 72 52 35,1978-05-07,True
Eivor,Larsson,Stationsvägen 9,Uppsala,89176,Sverige,SE,19630213-4963,+46,094-83 42 54,1963-02-13,True
Mari,Makkonen,Freesenpolku 0,Pihtipudas,53255,Finland,FI,19820715-709L,+358,0132108337,1982-07-15,True
Rita,Ahmed,Nilsenekra 2,Norastad,7779,Norge,NO,19781024-8673,+47,40241245,1978-10-24,True
Juhani,Hjalmarsson,Industrigatan 0,Skellefteå,29186,Sverige,SE,19421106-6884,+46,08-787 401 55,1942-11-06,True
Nina,Nilsson,Furuvägen 83,Varberg,35405,Sverige,SE,19720109-2314,+46,093-61 48 89,1972-01-09,True
Bradley,Gill,Ramsey Neck 8385,West Debra,60064,Danmark,DK,19920719-1553,+45,930.930.5262x9455,1992-07-19,True
Cecilie,Hauge,Amundsenhavna 55,Runeø,2136,Norge,NO,19701014-3568,+47,14 77 55 50,1970-10-14,True
David,Svensson,Kyrkgatan 3,Halmstad,85648,Sverige,SE,19890228-9480,+46,08-794 953 73,1989-02-28,True
Clifford,Yates,Jacob Trafficway 8000,South Robertmouth,08361,Danmark,DK,19970427-5051,+45,201-982-2343x157,1997-04-27,True
Kirsten,Martinsen,Arnesenbråten 01A,Solberg,3235,Norge,NO,19580822-2792,+47,93611286,1958-08-22,True
Alice,Andersson,Bäckstigen 1,Mölndal,82591,Sverige,SE,19640809-4441,+46,08-46 40 33,1964-08-09,True
Kurt,Hansson,Furugränd 11,Umeå,61527,Sverige,SE,19720402-8404,+46,+46 (0)030 621 41,1972-04-02,True
Ole,Kristoffersen,Isaksenstubben 95H,Andersfoss,0009,Norge,NO,19750503-3225,+47,05 58 80 70,1975-05-03,True
Curtis,Adkins,Monica Mill 9368,Simsmouth,58341,Danmark,DK,19720428-2226,+45,774.340.7252,1972-04-28,True
Joel,Henriksson,Stationstorget 10,Umeå,71329,Sverige,SE,19520412-9697,+46,+46 (0)8 772 518 27,1952-04-12,True
Bo,Johansson,Gengränd 74,Luleå,25922,Sverige,SE,19700116-5819,+46,0835-89 54 79,1970-01-16,True
Birgit,Johansson,Aspvägen 1,Trollhättan,84203,Sverige,SE,19630718-8533,+46,0421-86 83 48,1963-07-18,True
Elsa,Claesson,Backgatan 185,Uppsala,79078,Sverige,SE,19590504-5720,+46,08-332 82 64,1959-05-04,True
Brita,Sandström,Storvägen 3,Östersund,40451,Sverige,SE,19680316-4721,+46,070-251 20 76,1968-03-16,True
Makayla,Rivera,Adams Forge 526,Costamouth,11706,Danmark,DK,19771206-3399,+45,(231)654-6116x404,1977-12-06,True
Bengt,Nilsson,Parkgatan 51,Norrköping,86617,Sverige,SE,19860601-5382,+46,0660-017 16,1986-06-01,True
Margareta,Åkesson,Nygatan 02,Sandviken,62295,Sverige,SE,19780428-4193,+46,+46 (0)62 06 10 95,1978-04-28,True
Cynthia,Powell,Jones Heights 751,Lake Cynthiafurt,70856,Danmark,DK,19740417-6714,+45,+1-763-393-1869x58349,1974-04-17,True
Finn,Nguyen,Halvorsenlunden 7,Theaøy,6298,Norge,NO,19480718-0252,+47,99673880,1948-07-18,True
Rune,Eklund,Villavägen 490,Karlstad,32070,Sverige,SE,19600723-0369,+46,08-785 63 48,1960-07-23,True
Ludvig,Karlsson,Skolgatan 2,Nyköping,76725,Sverige,SE,19681215-0521,+46,0244-520 70,1968-12-15,True
Viktoria,Nilsson,Backgatan 40,Östersund,19143,Sverige,SE,19840421-2454,+46,0343-30 63 76,1984-04-21,True
Magnus,Tangen,Haugspranget 63,Helenefoss,1421,Norge,NO,19970121-3215,+47,94633383,1997-01-21,True
Steinar,Sivertsen,Sørensenbakken 3,Haug,3915,Norge,NO,19840225-1903,+47,54 59 14 33,1984-02-25,True
Bente,Jørgensen,Thomassenmarka 14D,Thorsen,2732,Norge,NO,19660228-4050,+47,45264301,1966-02-28,True
Terje,Dahl,Aasgrenda 2D,Dageid,3306,Norge,NO,19520327-0079,+47,44773043,1952-03-27,True
Emil,Petersson,Backvägen 0,Ängelholm,93719,Sverige,SE,19660111-5526,+358,+46 (0)846 804 36,1966-01-11,True
Emilia,Kolehmainen,Kolsinpolku 4,Luumäki,98955,Finland,FI,19810522-7212,+358,(+358) 740552915,1981-05-22,True
Marianne,Andersson,Skolgatan 968,Karlstad,91048,Sverige,SE,19781019-9401,+46,+46 (0)38 58 03 17,1978-10-19,True
Kenneth,Taylor,Kathleen Light 52049,Devinton,12344,Norge,DK,19711111-0851,+45,(466)623-6963,1971-11-11,True
Sten,Jönsson,Björkgränd 3,Karlskoga,82319,Sverige,SE,19980409-5914,+46,070-498 77 79,1998-04-09,True
Elisabet,Nilsson,Storvägen 581,Västerås,63226,Sverige,SE,19630330-0741,+46,+46 (0)8 717 232 88,1963-03-30,True
Maija,Kokkonen,Ahdekaunokinpolku 36,Konnevesi,05642,Finland,FI,19940509-401M,+358,+358660224047,1994-05-09,True
Sondre,Berntsen,Moenspranget 82,Eivindstrand,3815,Norge,NO,19660626-7085,+47,+47 77 53 45 59,1966-06-26,True
Michael,Montoya,Susan Grove 48080,Rhondastad,28040,Danmark,DK,19990516-3181,+45,267-320-7445x442,1999-05-16,True
Lennart,Johansson,Skogsstigen 24,Kristianstad,51692,Sverige,SE,19731020-9568,+46,+46 (0)50 36 09 22,1973-10-20,True
Erik,Åkesson,Industrigatan 274,Sandviken,62595,Sverige,SE,19581128-4587,46,087-18 24 90,1958-11-28,True
Turid,Christensen,Pedersentjernet 620,Andreassen,3545,Norge,NO,19830214-5284,+47,64 50 61 24,1983-02-14,True
Kathy,Neal,Jennifer Well 785,Julieburgh,48170,Danmark,DK,19970810-2034,+45,5569511259,1997-08-10,True
Geir,Berg,Alitjernet 4,Berg,5854,Norge,NO,19540529-8743,+47,82 88 71 54,1954-05-29,True
Tiffany,Cruz,David Causeway 4805,Thompsonview,91622,Danmark,DK,19680910-9647,+45,(248)739-0473x062,1968-09-10,True
Janne,Turunen,Walentin Chorellin kuja 898,Tuusniemi,58719,Finland,FI,19840422-423S,+358,(+358) 073959036,1984-04-22,True
Ryan,Garza,Clayton Station 80410,Richardmouth,63789,Danmark,DK,19520418-0225,+45,448-465-2229,1952-04-18,True
Tobias,Aune,Iversenhøgda 9,Eriksen,3447,Norge,NO,19670608-8687,+47,+47 84 71 72 84,1967-06-08,True
Mikael,Karlsson,Idrottsgatan 16,Karlskoga,76949,Sverige,SE,19990912-4053,+46,08-545 70 22,1999-09-12,True
Bo,Svensson,Parkvägen 4,Sundsvall,61458,Sverige,SE,19640726-3679,+46,0822-115 34,1964-07-26,True
Lene,Danielsen,Fredriksenlyngen 98,Marenøy,9670,Norge,NO,19980522-5493,+47,+47 31 83 40 93,1998-05-22,True
Lene,Berge,Thomassenskrenten 6B,Nielsen,5060,Norge,NO,19461220-8323,+47,64 01 90 38,1946-12-20,True
Christoffer,Karlsson,Skolgatan 60,Lidingö,19587,Sverige,SE,19490121-2673,+46,033-655 53 60,1949-01-21,True
Tommy,Bergqvist,Ekgränd 8,Karlstad,57229,Sverige,SE,19770721-6572,+46,08-931 399 69,1977-07-21,True
Annika,Persson,Idrottsgatan 4,Karlskrona,60011,Sverige,SE,19881214-9961,+46,08-245 378 26,1988-12-14,True
Leif,Andersson,Åkergatan 55,Örnsköldsvik,30748,Sverige,SE,19600220-6761,+46,040-573 03 43,1960-02-20,True
Daniel,Carlsson,Björkgatan 9,Örnsköldsvik,94896,Sverige,SE,19850115-8253,+46,0441-715 12,1985-01-15,True
Susanna,Koskinen,Verkkobulevardi 381,Kökar,12026,Finland,FI,19980526-381P,+358,0077119102,1998-05-26,True
Maj,Olsson,Skolgränd 9,Falun,52405,Sverige,SE,20000801-2057,+46,026-820 79 92,2000-08-01,True
Kjell,Johansson,Grantorget 662,Örebro,72117,Sverige,SE,19540516-3620,+46,08-22 59 86,1954-05-16,True
Robert,Wilson,Charles Tunnel 973,Petersview,01826,Danmark,DK,19781203-3408,+45,+1-654-632-4261x9052,1978-12-03,True
Mathias,Lunde,Johansenskogen 3,Åsevik,4357,Norge,NO,19660413-2799,+47,57 85 09 20,1966-04-13,True
Andreas,Solberg,Pettersenengen 7,Sarastrand,1889,Norge,NO,19621229-8870,+47,72 52 51 24,1962-12-29,True
Ann,Johnsen,Myklebustskrenten 9,Theafjord,1174,Norge,NO,19920607-0997,+47,51397007,1992-06-07,True
Christopher,Hicks,Anderson Meadow 8652,Edwardschester,41726,Danmark,DK,19881223-2806,+45,643-415-3649x7519,1988-12-23,True
Kjetil,Fredriksen,Johannessenrøa 89,Tormark,3368,Norge,NO,19980422-4686,+47,84288224,1998-04-22,True
Tor,Christensen,Eliassenjordet 31C,Fredriksen,7075,Norge,NO,19521114-7060,+47,97987677,1952-11-14,True
Maren,Sæther,Sandvikrøa 24,Tonestrøm,8969,Norge,NO,19631205-5088,+47,94266106,1963-12-05,True
Erkki,Nieminen,Hannukselankuja 687,Posio,85932,Finland,FI,19571125-552R,+358,+358782310580,1957-11-25,True
Fredrik,Svensson,Industrigatan 5,Halmstad,34833,Sverige,SE,19710602-2620,+46,0419-32 51 77,1971-06-02,True
Karl,Skoglund,Storstigen 9,Karlskrona,65000,Sverige,SE,19720328-8491,+46,08-66 01 53,1972-03-28,True
Johan,Lindberg,Granvägen 343,Lund,24315,Sverige,SE,19710208-3396,+46,08-383 95 42,1971-02-08,True
Eva,Andersson,Furustigen 121,Karlskoga,46598,Sverige,SE,19450804-0207,+46,0390-698 97,1945-08-04,True
Kerstin,Öberg,Kvarngatan 209,Örebro,47583,Sverige,SE,19930722-2275,+46,090-231 34 08,1993-07-22,True
Ensio,Mustonen,Graniittipolku 76,Haapajärvi,64827,Finland,FI,19400218-7800,+358,054 409 4981,1940-02-18,True
Torbjörn,Nilsson,Strandvägen 026,Borås,33909,Sverige,SE,19480626-5141,+46,08-837 794 37,1948-06-26,True
Marius,Sandvik,Moehavna 3,Larsen,1907,Norge,NO,19840129-6965,+47,19 25 30 07,1984-01-29,True
Christopher,Kelly,Danielle Fords 813,Lisafurt,75648,Danmark,DK,19420610-2940,+45,565-784-3490,1942-06-10,True
Todd,May,Reed Row 9534,West Chelseamouth,20146,Danmark,DK,19790323-0876,+45,001-854-382-0894x3832,1979-03-23,True
Inga-Lill,Holmqvist,Strandvägen 19,Lund,18835,Norge,SE,19801124-5768,+46,082-42 50 40,1980-11-24,True
Olof,Karlsson,Nyvägen 451,Trelleborg,27815,Sverige,SE,19990206-1905,+46,0545-73 21 02,1999-02-06,True
Tommy,Holm,Nielsenkollen 6,Thomassen,2820,Norge,NO,19610514-4476,+47,61509347,1961-05-14,True
Axel,Holm,Björkgatan 72,Gävle,36161,Sverige,SE,19830515-2352,+46,08-91 19 67,1983-05-15,True
Nora,Kristiansen,Paulseneggen 74,Nygård,6388,Norge,NO,19710326-4434,+47,+47 01 01 54 36,1971-03-26,True
Gerd,Eklund,Fabriksvägen 18,Ängelholm,32362,Sverige,SE,19761212-1521,+46,0352-207 51,1976-12-12,True
Grete,Henriksen,Rasmussenmyra 3,Andreasby,5763,Norge,NO,19611206-6609,+47,471 70 244,1961-12-06,True
Yvonne,Jönsson,Stationsvägen 80,Umeå,54268,Danmark,SE,19811231-4639,+46,022-68 65 76,1981-12-31,True
Ruth,Solberg,Johansenskogen 8B,Tangen,4869,Norge,NO,19840225-8846,+47,969 15 253,1984-02-25,True
Leif,Nygård,Haugegjerdet 3,Andresen,3849,Norge,NO,19970214-8522,+47,43518753,1997-02-14,True
Göran,Eriksson,Åkertorget 02,Lidingö,48080,Sverige,SE,19730311-3454,+46,+46 (0)07 41 65 97,1973-03-11,True
Maria,Bergström,Kyrkogränd 073,Växjö,14072,Sverige,SE,19490414-7764,+46,08-82 03 02,1949-04-14,True
Roar,Johnsen,Eliassenplassen 6,Karlsjøen,4057,Norge,NO,19830430-9548,+47,88787336,1983-04-30,True
Margareta,Eriksson,Furutorget 88,Borlänge,81282,Sverige,SE,19971231-8381,+46,+46 (0)8 700 006 21,1997-12-31,True
Arne,Andresen,Jensenstubben 4,Simenodden,4397,Norge,NO,19811001-2872,+47,+4773210918,1981-10-01,True
Kerstin,Nilsson,Trädgårdsgatan 3,Helsingborg,61589,Sverige,SE,19710104-3016,+46,08-214 344 45,1971-01-04,True
Doris,Berglund,Parkgatan 506,Linköping,48229,Sverige,SE,19570409-0451,+46,08-77 37 79,1957-04-09,True
Erik,Eriksson,Industrivägen 96,Linköping,48545,Sverige,SE,19410430-3719,+46,08-100 35 30,1941-04-30,True
Teresa,Mccarthy,Johnson Haven 70719,West Davidtown,39324,Danmark,DK,19661115-6320,+45,(591)898-6755x01317,1966-11-15,True
Emily,Church,Michael Rest 535,Bateshaven,61407,Danmark,DK,19690411-6918,+45,979-946-5229,1969-04-11,True
Birgitta,Stenberg,Industristigen 54,Norrköping,79720,Sverige,SE,19550702-8751,+46,0879-642 23,1955-07-02,True
Magdalena,Samuelsson,Ängsgränd 37,Luleå,78489,Sverige,SE,19910806-6240,+46,087-70 23 02,1991-08-06,True
Cecilia,Karlsson,Parkgränd 6,Örnsköldsvik,32372,Sverige,SE,19500627-4971,+46,08-271 30 27,1950-06-27,True
Rolf,Bergström,Skoltorget 5,Motala,50700,Sverige,SE,19870228-9753,+46,08-988 073 33,1987-02-28,True
Josefine,Månsson,Fabriksstigen 11,Sandviken,68164,Sverige,SE,19850428-7886,+46,0184-171 73,1985-04-28,True
Tiffany,Ruiz,Robert Landing 3471,Port William,21008,Danmark,DK,19720815-5715,+45,6933764617,1972-08-15,True
Christer,Persson,Skolvägen 0,Eskilstuna,62370,Sverige,SE,19550802-0912,+46,08-41 00 29,1955-08-02,True
Justin,Lucas,Rebecca Springs 9665,Meganfurt,86725,Danmark,DK,19740518-1455,+45,806-285-9431x560,1974-05-18,True
Tobias,Edvardsen,Hagenmyra 79,Ruthsand,4492,Norge,NO,19701122-1034,+47,+47 45 88 91 95,1970-11-22,True
Michael,Collier,Dennis Park 5606,Ashleytown,37436,Danmark,DK,19401203-4625,+45,828-900-5415x851,1940-12-03,True
Kristina,Andersson,Backstigen 3,Örebro,59100,Sverige,SE,19590629-7374,+46,+46 (0)8 541 323 59,1959-06-29,True
Veronica,Lindgren,Skogsvägen 3,Skövde,55905,Sverige,SE,19830308-5040,+46,08-611 59 14,1983-03-08,True
Annika,Andersson,Bäckvägen 40,Gävle,27175,Sverige,SE,19580131-1926,+46,0177-60 42 75,1958-01-31,True
Gunnar,Persson,Parkgränd 293,Lund,46266,Sverige,SE,19530718-4687,+46,012-069 79 81,1953-07-18,True
Rune,Nilsson,Grantorget 9,Skellefteå,46746,Sverige,SE,19930209-1643,+46,023-390 81 31,1993-02-09,True
Justin,Waller,Jennifer Club 787,Lake Cody,91837,Danmark,DK,19540711-2144,+45,(556)818-3073,1954-07-11,True
Lovisa,Andersson,Strandtorget 5,Landskrona,61477,Sverige,SE,19961022-7260,+46,08-906 550 54,1996-10-22,True
Rikard,Eliasson,Aspgatan 6,Trelleborg,13751,Sverige,SE,19441127-2940,+46,020-216 38 18,1944-11-27,True
Edward,Peterson,Rebecca Island 22044,East Ashley,95727,Danmark,DK,19650120-0397,+45,509-553-5408,1965-01-20,True
Ester,Isaksson,Furuvägen 45,Växjö,85649,Sverige,SE,19920725-8176,+46,+46 (0)58 79 99 37,1992-07-25,True
Andreas,Mattsson,Kvarnvägen 500,Karlskrona,20354,Sverige,SE,19991101-2703,+46,046-93 55 80,1999-11-01,True
Maria,Fransson,Kyrkogränd 249,Karlskoga,98779,Sverige,SE,19600731-7613,+46,+46 (0)8 033 662 05,1960-07-31,True
Erika,Karlsson,Skolvägen 410,Lidköping,77356,Sverige,SE,19530423-1315,+46,082-893 52 61,1953-04-23,True
Gun,Nilsson,Trädgårdsgatan 418,Uddevalla,56392,Sverige,SE,19430309-2731,+46,031-23 79 88,1943-03-09,True
Åke,Karlsson,Trädgårdsgatan 95,Luleå,26214,Sverige,SE,19721202-1604,+46,08-053 470 39,1972-12-02,True
Brad,Carter,Hicks Causeway 913,Christinaburgh,26559,Danmark,DK,19730413-4269,+45,(352)323-9638x760,1973-04-13,True
Siv,Eriksson,Ängstorget 3,Eskilstuna,21400,Sverige,SE,19680316-8576,+46,069-908 29 64,1968-03-16,True
Helena,Korhonen,Freesentie 090,Kuhmoinen,60172,Finland,FI,19980809-1280,+358,0618345707,1998-08-09,True
Camilla,Johnsen,Moenlyngen 6,Eliassen,4806,Norge,NO,19521003-3458,+47,+4717960688,1952-10-03,True
Laila,Berge,Svendsenstykket 304,Madsen,0662,Norge,NO,19820528-3628,+47,+47 81 27 44 97,1982-05-28,True
Harriet,Nygren,Parkvägen 0,Jönköping,67381,Sverige,SE,19490911-8565,+46,+46 (0)09 31 82 58,1949-09-11,True
Emily,Torres,Christopher Fort 30562,Port Randy,71036,Danmark,DK,19961123-2081,+45,484.482.6538x117,1996-11-23,True
Kyle,Hernandez,Robert Union 788,Austinchester,68060,Danmark,DK,19510710-2542,+45,619-278-0912,1951-07-10,True
Stefan,Jönsson,Kyrkgatan 3,Skövde,29811,Sverige,SE,19440817-9966,+46,08-61 56 26,1944-08-17,True
Karl,Birkeland,Hagenstykket 2D,Gunndal,7888,Norge,NO,19990824-4524,+47,906 39 037,1999-08-24,True
Knut,Magnusson,Strandstigen 5,Varberg,24986,Sverige,SE,19640520-0165,+46,041-31 67 39,1964-05-20,True
Petri,Mäenpää,Wallininpolku 974,Perho,60513,Finland,FI,19851231-7663,+358,+358454711760,1985-12-31,True
Gunnel,Andersson,Ängsgatan 0,Karlskrona,74820,Sverige,SE,19531122-4784,+46,+46 (0)55 53 42 28,1953-11-22,True
Topias,Saarinen,Haagan pappilankuja 53,Ristijärvi,74661,Finland,FI,19870103-823Y,+358,0396778998,1987-01-03,True
Viola,Andersson,Kvarnvägen 427,Trollhättan,45657,Sverige,SE,19400802-8483,+46,08-088 80 03,1940-08-02,True
Veronica,Nilsson,Stationsgatan 9,Göteborg,23539,Sverige,SE,19960910-7507,+46,08-763 657 05,1996-09-10,True
Scott,Tran,Lance Land 140,Weeksland,62573,Danmark,DK,19401008-3407,+45,699-432-2437x420,1940-10-08,True
Nicolas,Walton,Kelly Port 35118,West Ashley,77017,Danmark,DK,19460213-4177,+45,356-523-3669x737,1946-02-13,True
Astrid,Jakobsen,Jakobsenskogen 2,Ruud,3390,Norge,NO,19820511-6113,+47,95012601,1982-05-11,True
Fredrik,Hanssen,Hauglyngen 2A,Ragnhildsund,2330,Norge,NO,19951129-8746,+47,57269423,1995-11-29,True
Maria,Dorsey,Bryan River 516,Lake Jennifer,54040,Danmark,DK,19420121-9222,+45,(965)217-1577x00105,1942-01-21,True
Ann,Löfgren,Gengatan 894,Varberg,10502,Sverige,SE,19460209-9643,+46,+46 (0)8 873 569 60,1946-02-09,True
Hans,Viklund,Gentorget 227,Falun,57141,Sverige,SE,19830420-3283,+46,+46 (0)47 11 22 66,1983-04-20,False
Kristian,Ahmed,Sivertsenflata 34B,Sivertsen,3986,Norge,NO,19500129-8886,+47,43 83 12 12,1950-01-29,True
Kenneth,Hansen,Abrahamsenvika 3B,Madsen,7460,Norge,NO,19871224-7516,+47,917 22 789,1987-12-24,True
Paul,Johansson,Gentorget 6,Varberg,71449,Sverige,SE,19510522-7196,+46,+46 (0)232 703 30,1951-05-22,True
Tommy,Aas,Sivertsentjernet 4A,Holm,4357,Norge,NO,19760227-0009,+47,493 98 704,1976-02-27,True
Erik,Larsson,Åkerstigen 195,Kristianstad,82008,Sverige,SE,19920107-5045,+46,0190-882 47,1992-01-07,True
William,Murphy,Kimberly Parks 74185,West Stephaniebury,04992,Danmark,DK,19971111-3869,+45,597-253-4882,1997-11-11,True
Maarit,Nykänen,Werner Wirénin bulevardi 32,Korsnäs,35012,Finland,FI,19750202-346E,+358,(+358) 465037320,1975-02-02,True
Jessica,King,Mark Cliffs 683,Floreston,88986,Danmark,DK,19511224-9111,+45,001-441-769-1175x4031,1951-12-24,True
Rita,Halvorsen,Svendsenberget 08,Sigurdgrunn,7439,Norge,NO,19910523-6992,+47,402 23 196,1991-05-23,True
David,Skinner,Freeman Vista 079,Carloston,70585,Danmark,DK,19400722-6039,+45,+1-274-318-8392x0971,1940-07-22,True
Kristoffer,Hansen,Ahmedfaret 528,Larsvåg,8018,Norge,NO,19991225-5773,+47,407 74 337,1999-12-25,False
Siri,Strøm,Holmmarka 2,Henrikmark,3652,Norge,NO,19951011-2438,+47,07773179,1995-10-11,True
Eva,Lundin,Granvägen 5,Östersund,89257,Sverige,SE,19890708-5322,+46,0062-296 00,1989-07-08,True
Joakim,Birkeland,Haugeplassen 7,Moe,3105,Norge,NO,19740819-7032,+47,45250379,1974-08-19,False
Birgit,Olsson,Genstigen 06,Västerås,44251,Sverige,SE,19971105-2942,+46,+46 (0)893 535 62,1997-11-05,True
Karl,Möller,Björkvägen 971,Varberg,57739,Sverige,SE,19431029-1206,+46,0754-781 76,1943-10-29,True
Rut,Petersson,Storstigen 46,Varberg,81769,Sverige,SE,19880228-0355,46,+46 (0)328 883 51,1988-02-28,True
Christian,Hansson,Åkergatan 47,Landskrona,71181,Sverige,SE,19660517-2661,+46,0512-931 03,1966-05-17,True
Sebastian,Myhre,Rasmussenberget 50B,Finnsund,7592,Norge,NO,19730110-6135,+47,496 66 751,1973-01-10,True
Felicia,Lawson,Mcdonald Corner 475,Sandersland,73847,Danmark,DK,19430530-1756,+45,(654)595-3074x11377,1943-05-30,True
Anna,Axelsson,Fabriksvägen 729,Malmö,66117,Sverige,SE,19920925-6668,+46,+46 (0)30 16 65 49,1992-09-25,True
Jean,Long,George Harbor 716,New Angela,74326,Danmark,DK,19610304-3972,+45,8022239259,1961-03-04,True
Olof,Bengtsson,Trädgårdsvägen 9,Skövde,61019,Sverige,SE,19641121-2925,+46,044-307 37 30,1964-11-21,True
Elisabeth,Karlsson,Parkstigen 708,Karlstad,80454,Sverige,SE,19930610-5820,+46,003-13 44 38,1993-06-10,True
